YMD,incident_type,Gas Price($)
2014/7/21,Fire,3.593
2014/7/28,Severe Storm(s),3.539
2014/7/28,Flood,3.539
2014/8/11,Fire,3.505
2014/8/25,Fire,3.454
2014/9/15,Fire,3.408
2014/10/6,Severe Storm(s),3.299
2014/11/3,Volcano,2.993
2014/12/22,Snow,2.403
2015/4/13,Severe Storm(s),2.408
2015/4/20,Severe Ice Storm,2.485
2015/5/18,Flood,2.744
2015/6/15,Fire,2.835
2015/6/29,Fire,2.801
2015/7/6,Fire,2.793
2015/7/13,Flood,2.834
2015/7/20,Severe Storm(s),2.802
2015/8/24,Fire,2.637
2015/9/14,Fire,2.375
2015/10/5,Flood,2.318
2016/1/4,Severe Storm(s),2.028
2016/2/1,Severe Storm(s),1.822
2016/3/7,Snow,1.841
2016/3/14,Severe Storm(s),1.961
2016/4/25,Flood,2.162
2016/7/25,Fire,2.182
2016/8/1,Fire,2.159
2016/8/8,Fire,2.15
2016/8/22,Fire,2.193
2016/10/10,Hurricane,2.272
2016/10/17,Fire,2.257
2016/10/31,Flood,2.23
2016/11/28,Fire,2.154
2017/3/6,Fire,2.341
2017/3/27,Severe Storm(s),2.315
2017/5/8,Fire,2.372
2017/5/22,Severe Storm(s),2.399
2017/6/26,Severe Storm(s),2.288
2017/7/17,Fire,2.278
2017/8/28,Hurricane,2.399
2017/9/4,Fire,2.679
2017/9/11,Hurricane,2.685
2017/9/18,Hurricane,2.634
2017/10/9,Fire,2.504
2017/10/16,Hurricane,2.489
2018/6/11,Fire,2.911
2018/6/25,Fire,2.833
2018/6/25,Severe Storm(s),2.833
2018/7/2,Fire,2.844
2018/7/2,Flood,2.844
2018/7/23,Fire,2.831
2018/7/30,Severe Storm(s),2.846
2018/8/6,Fire,2.852
2018/8/13,Fire,2.843
2018/8/20,Tornado,2.821
2018/8/20,Severe Storm(s),2.821
2018/8/27,Severe Storm(s),2.827
2018/9/3,Fire,2.824
2018/9/10,Hurricane,2.833
2018/9/10,Typhoon,2.833
2018/10/1,Flood,2.866
2018/10/1,Typhoon,2.866
2018/10/15,Hurricane,2.879
2018/11/5,Hurricane,2.753
2018/11/12,Fire,2.686
2019/2/25,Flood,2.39
2019/2/25,Severe Storm(s),2.39
2019/3/4,Severe Storm(s),2.422
2019/4/8,Flood,2.745
2019/4/8,Severe Storm(s),2.745
2019/4/29,Flood,2.887
2019/5/20,Flood,2.852
2019/6/3,Severe Storm(s),2.807
2019/6/17,Flood,2.67
2019/7/8,Earthquake,2.743
2019/7/22,Fire,2.75
2019/9/23,Flood,2.654
2019/9/30,Hurricane,2.642
2019/10/7,Typhoon,2.645
2019/10/7,Severe Storm(s),2.645
2019/10/21,Hurricane,2.638
2019/10/28,Fire,2.596
2019/11/18,Severe Storm(s),2.592
2020/3/23,Biological,2.12
2020/3/30,Biological,2.005
2020/5/18,Fire,1.878
2020/7/13,Fire,2.195
2020/8/3,Fire,2.176
2020/8/17,Fire,2.166
2020/8/17,Severe Storm(s),2.166
2020/8/24,Hurricane,2.182
2020/9/7,Fire,2.211
2020/9/14,Hurricane,2.183
2020/9/28,Fire,2.169
2020/10/26,Fire,2.143
2020/12/21,Severe Ice Storm,2.224
2021/1/11,Other,2.317
2021/3/29,Fire,2.852
